Age,Job,Income,Schooling,Married_Status,Job_Type,Color_Race,Gender,Place
39, State-gov,78000, Bachelors, Never-married, Adm-clerical, White, Male, United-States
50, Self-emp-not-inc,83000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States
38, Private,216000, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States
53, Private,235000, 11th, Married-civ-spouse, Handlers-cleaners, Black, Male, United-States
28, Private,338000, Bachelors, Married-civ-spouse, Prof-specialty, Black, Female, Cuba
37, Private,285000, Masters, Married-civ-spouse, Exec-managerial, White, Female, United-States
49, Private,160000, 9th, Married-spouse-absent, Other-service, Black, Female, Jamaica
52, Self-emp-not-inc,210000, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, United-States
31, Private,46000, Masters, Never-married, Prof-specialty, White, Female, United-States
42, Private,159000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States
37, Private,280000, Some-college, Married-civ-spouse, Exec-managerial, Black, Male, United-States
30, State-gov,141000, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male, India
23, Private,122000, Bachelors, Never-married, Adm-clerical, White, Female, United-States
32, Private,205000, Assoc-acdm, Never-married, Sales, Black, Male, United-States
40, Private,122000, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, ?
34, Private,245000, 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male, Mexico
25, Self-emp-not-inc,177000, HS-grad, Never-married, Farming-fishing, White, Male, United-States
32, Private,187000, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States
38, Private,29000, 11th, Married-civ-spouse, Sales, White, Male, United-States
43, Self-emp-not-inc,292000, Masters, Divorced, Exec-managerial, White, Female, United-States
40, Private,194000, Doctorate, Married-civ-spouse, Prof-specialty, White, Male, United-States
54, Private,302000, HS-grad, Separated, Other-service, Black, Female, United-States
35, Federal-gov,77000, 9th, Married-civ-spouse, Farming-fishing, Black, Male, United-States
43, Private,117000, 11th, Married-civ-spouse, Transport-moving, White, Male, United-States
59, Private,109000, HS-grad, Divorced, Tech-support, White, Female, United-States
56, Local-gov,217000, Bachelors, Married-civ-spouse, Tech-support, White, Male, United-States
19, Private,168000, HS-grad, Never-married, Craft-repair, White, Male, United-States
54,?,180000, Some-college, Married-civ-spouse, ?, Asian-Pac-Islander, Male, South
39, Private,367000, HS-grad, Divorced, Exec-managerial, White, Male, United-States
49, Private,193000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
23, Local-gov,191000, Assoc-acdm, Never-married, Protective-serv, White, Male, United-States
20, Private,266000, Some-college, Never-married, Sales, Black, Male, United-States
45, Private,387000, Bachelors, Divorced, Exec-managerial, White, Male, United-States
30, Federal-gov,60000, Some-college, Married-civ-spouse, Adm-clerical, White, Male, United-States
22, State-gov,312000, Some-college, Married-civ-spouse, Other-service, Black, Male, United-States
48, Private,242000, 11th, Never-married, Machine-op-inspct, White, Male, Puerto-Rico
21, Private,197000, Some-college, Never-married, Machine-op-inspct, White, Male, United-States
19, Private,544000, HS-grad, Married-AF-spouse, Adm-clerical, White, Female, United-States
31, Private,84000, Some-college, Married-civ-spouse, Sales, White, Male, ?
48, Self-emp-not-inc,265000, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Male, United-States
31, Private,508000, 9th, Married-civ-spouse, Machine-op-inspct, White, Male, United-States
53, Self-emp-not-inc,89000, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States
24, Private,173000, Bachelors, Married-civ-spouse, Tech-support, White, Male, United-States
49, Private,95000, HS-grad, Separated, Adm-clerical, White, Female, United-States
25, Private,290000, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States
57, Federal-gov,338000, Bachelors, Married-civ-spouse, Prof-specialty, Black, Male, United-States
53, Private,144000, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, United-States
44, Private,128000, Masters, Divorced, Exec-managerial, White, Female, United-States
41, State-gov,102000, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male, United-States
29, Private,271000, Assoc-voc, Never-married, Prof-specialty, White, Male, United-States
25, Private,32000, Some-college, Married-civ-spouse, Exec-managerial, Other, Female, United-States
18, Private,227000, HS-grad, Never-married, Other-service, White, Female, ?
47, Private,52000, Prof-school, Married-civ-spouse, Prof-specialty, White, Female, Honduras
50, Federal-gov,252000, Bachelors, Divorced, Exec-managerial, White, Male, United-States
47, Self-emp-inc,110000, HS-grad, Divorced, Exec-managerial, White, Male, United-States
43, Private,238000, Some-college, Married-civ-spouse, Tech-support, White, Male, United-States
46, Private,217000, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Male, Mexico
35, Private,56000, Assoc-voc, Married-civ-spouse, Other-service, White, Male, Puerto-Rico
41, Private,147000, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, United-States
30, Private,188000, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, United-States
30, Private,59000, Bachelors, Married-civ-spouse, Sales, White, Male, United-States
32, ?,294000, 7th-8th, Married-spouse-absent, ?, White, Male, ?
48, Private,150000, HS-grad, Married-civ-spouse, Transport-moving, White, Male, United-States
42, Private,117000, Doctorate, Married-civ-spouse, Prof-specialty, White, Male, United-States
29, Private,106000, Some-college, Divorced, Tech-support, White, Male, United-States
36, Private,156000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
28, Private,183000, Some-college, Divorced, Adm-clerical, White, Female, United-States
53, Private,170000, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States
49, Self-emp-inc,192000, Some-college, Married-civ-spouse, Exec-managerial, White, Male, United-States
25, ?,201000, Some-college, Never-married, ?, White, Male, United-States
19, Private,102000, Some-college, Never-married, Prof-specialty, White, Male, United-States
31, Private,310000, Bachelors, Separated, Sales, Black, Female, United-States
29, Self-emp-not-inc,162000, Bachelors, Married-civ-spouse, Sales, White, Male, United-States
23, Private,212000, Some-college, Never-married, Machine-op-inspct, White, Male, United-States
79, Private,125000, Some-college, Married-civ-spouse, Prof-specialty, White, Male, United-States
27, Private,214000, HS-grad, Never-married, Other-service, White, Male, Mexico
40, Private,32000, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male, United-States
67, ?,213000, 10th, Married-civ-spouse, ?, White, Male, United-States
18, Private,310000, 11th, Never-married, Other-service, White, Female, United-States
31, Local-gov,126000, 7th-8th, Married-civ-spouse, Farming-fishing, White, Male, United-States
18, Private,447000, HS-grad, Never-married, Sales, White, Male, United-States
