IS_TENT,GENDER,AGE,MARITAL_STATUS,PROFESSION
False,M,27,Single,Professional
False,F,39,Married,Other
False,F,39,Married,Other
False,F,56,Unspecified,Hospitality
False,M,45,Married,Retired
False,M,45,Married,Retired
False,F,39,Married,Other
False,F,49,Married,Other
False,F,49,Married,Other
False,M,47,Married,Retired
False,M,47,Married,Retired
False,M,21,Single,Retail
False,F,66,Married,Other
False,F,35,Married,Professional
False,M,20,Single,Sales
False,M,20,Single,Sales
False,M,20,Single,Sales
False,F,37,Single,Other
False,M,42,Married,Other
True,F,24,Married,Retail
False,F,24,Married,Retail
False,M,29,Single,Retail
False,M,29,Single,Retail
True,M,43,Married,Trades
False,M,43,Married,Trades
True,F,43,Unspecified,Hospitality
False,F,43,Unspecified,Hospitality
False,F,43,Unspecified,Hospitality
True,F,43,Unspecified,Hospitality
False,M,29,Single,Other
False,M,41,Married,Professional
False,M,32,Married,Other
False,M,34,Married,Sales
False,F,18,Single,Student
False,F,31,Married,Executive
True,M,28,Single,Trades
False,F,24,Single,Student
True,F,29,Single,Other
False,F,29,Single,Other
False,F,68,Unspecified,Hospitality
True,M,42,Married,Trades
False,M,42,Married,Trades
True,F,33,Married,Hospitality
False,F,33,Married,Hospitality
False,F,33,Married,Hospitality
False,F,54,Married,Other
False,F,54,Married,Other
False,F,54,Married,Other
False,M,38,Married,Executive
False,M,38,Married,Executive
False,M,38,Married,Executive
True,M,24,Single,Other
False,F,24,Unspecified,Other
False,F,24,Unspecified,Other
False,F,20,Single,Retail
False,F,20,Single,Retail
False,F,29,Single,Professional
False,M,40,Married,Other
False,F,49,Unspecified,Hospitality
False,F,26,Single,Other
False,F,51,Unspecified,Hospitality
False,M,29,Single,Professional
False,F,33,Married,Executive
False,M,47,Married,Professional
False,F,38,Married,Other
False,F,39,Married,Executive
False,M,29,Single,Professional
False,M,29,Single,Professional
False,F,33,Married,Executive
False,F,20,Single,Professional
False,M,31,Married,Other
False,F,31,Single,Other
False,F,42,Married,Other
False,F,42,Married,Other
False,F,42,Married,Other
True,M,21,Single,Trades
False,F,65,Married,Other
False,F,65,Married,Other
False,F,41,Unspecified,Hospitality
False,F,41,Unspecified,Hospitality
False,M,17,Single,Student
False,M,55,Married,Trades
False,M,55,Married,Trades
False,M,55,Married,Trades
False,M,55,Married,Trades
False,F,52,Married,Executive
False,M,35,Married,Trades
False,F,34,Single,Retail
True,M,25,Single,Other
False,M,25,Single,Other
False,M,25,Single,Other
False,F,18,Single,Retail
False,F,19,Single,Other
False,M,36,Single,Professional
False,M,33,Married,Professional
True,M,33,Married,Sales
False,F,30,Single,Professional
False,F,29,Single,Other
False,F,29,Single,Other
False,M,21,Single,Sales
False,M,21,Single,Sales
False,F,44,Married,Other
False,M,21,Single,Student
False,M,21,Single,Student
False,M,46,Married,Trades
False,F,47,Married,Sales
False,F,34,Single,Professional
False,F,24,Single,Professional
False,F,27,Single,Retail
False,F,28,Single,Professional
False,M,26,Married,Other
False,M,26,Married,Other
False,M,29,Single,Professional
False,M,29,Single,Professional
False,M,29,Single,Professional
False,F,23,Single,Professional
False,M,27,Single,Other
False,F,26,Married,Executive
False,F,26,Married,Executive
False,F,20,Single,Other
False,M,26,Single,Other
False,M,33,Married,Other
False,M,33,Married,Other
False,F,19,Single,Other
False,F,19,Single,Other
True,F,26,Married,Other
False,F,26,Married,Other
False,F,40,Married,Other
False,F,40,Married,Other
False,F,40,Married,Other
False,M,40,Single,Other
False,M,40,Single,Other
True,M,40,Single,Other
False,M,40,Single,Other
False,M,40,Single,Other
False,M,44,Single,Other
False,M,44,Single,Other
False,M,43,Married,Trades
False,M,43,Married,Trades
False,F,24,Single,Retail
False,M,28,Unspecified,Sales
False,F,22,Single,Professional
False,F,20,Married,Retail
False,F,46,Married,Retail
False,M,31,Unspecified,Sales
False,M,31,Unspecified,Sales
False,M,31,Unspecified,Sales
False,M,31,Unspecified,Sales
False,M,31,Unspecified,Sales
False,F,23,Single,Student
False,F,23,Single,Student
False,F,37,Married,Other
False,F,37,Married,Other
False,F,50,Married,Other
False,F,18,Single,Student
False,M,30,Single,Trades
False,F,67,Married,Other
False,M,30,Married,Other
False,M,24,Single,Professional
False,F,31,Married,Other
False,F,31,Married,Other
False,M,35,Married,Other
False,M,41,Married,Trades
False,M,41,Married,Trades
False,F,25,Single,Other
False,F,23,Single,Other
False,F,25,Single,Other
False,F,30,Married,Hospitality
False,M,49,Unspecified,Trades
False,M,39,Married,Other
True,F,34,Married,Other
False,F,34,Married,Other
True,M,28,Single,Student
False,F,42,Married,Other
False,F,27,Single,Other
True,M,25,Single,Professional
False,M,55,Married,Other
False,M,27,Married,Other
False,M,27,Married,Other
False,F,19,Single,Professional
False,M,50,Married,Professional
False,F,33,Married,Other
False,F,33,Married,Other
False,M,35,Married,Sales
False,M,26,Married,Sales
False,M,26,Married,Sales
False,F,31,Married,Retail
False,F,31,Married,Retail
True,M,42,Married,Sales
False,M,42,Married,Sales
False,F,40,Married,Other
False,F,40,Married,Other
False,F,21,Married,Other
False,F,19,Single,Other
False,F,43,Married,Other
False,F,43,Married,Other
False,F,31,Married,Other
False,F,31,Married,Other
False,F,49,Married,Executive
False,F,49,Married,Executive
False,M,43,Married,Trades
False,M,43,Married,Trades
True,F,29,Single,Hospitality
False,F,29,Single,Hospitality
True,F,24,Single,Retail
False,M,20,Single,Other
False,M,20,Single,Other
False,M,33,Married,Executive
False,M,19,Single,Other
False,M,27,Married,Other
False,M,27,Married,Executive
False,M,27,Married,Executive
False,M,27,Married,Executive
False,F,22,Single,Other
False,F,22,Single,Other
False,F,25,Single,Retail
False,F,39,Married,Other
False,F,28,Single,Other
False,F,20,Single,Student
False,F,46,Married,Other
False,F,46,Married,Other
False,M,22,Single,Other
False,F,40,Married,Other
False,F,27,Single,Other
False,F,57,Married,Retired
False,F,27,Single,Other
False,F,27,Single,Other
False,F,21,Single,Other
False,F,25,Married,Executive
False,M,35,Married,Other
False,M,39,Married,Executive
False,M,39,Married,Executive
False,F,33,Married,Hospitality
False,F,23,Single,Retail
False,F,44,Married,Other
False,M,31,Married,Sales
False,M,31,Married,Sales
False,F,23,Single,Retail
False,M,24,Single,Student
False,M,24,Single,Student
True,M,31,Single,Professional
False,M,31,Single,Professional
False,F,19,Single,Retail
True,M,33,Single,Other
False,M,33,Single,Other
False,M,41,Married,Other
False,F,25,Married,Other
False,F,25,Married,Other
