Respondent ID,Age,Gender,Married,Years_Working,Firm_type,Work_Area,job_title,sensitive_supervisor,supervisor_devotes_time,supervisor_communication,supervisor_inline_with_personal_goals,supervisor_speaks_openly,problem_solve_intensively,Supervisor Communication 1,Supervisor Communication 2,e-working_takes_up_personal_time,e-work_consumes_personal_life,e_work_life_balance,constant_access_tiring,cant_put_down_work,e-work_higher_demands,e-work_poor_social_life,Work Life Interference,Work Life Interference Optimized,e-work_better_concentration,e-work_makes_more_effective,interrupted_but_meet_expectations,e-work_job_productivity_increase,Effectiveness/Productivity,Effectiveness/Productivity Optimized,training_for_online_provided,trust_organization_for_e-work_facilities,organization_trusts_e-work,Organizational Trust,Organizational Trust Optmized,flexible_e-work,e-work_allows_me_to_meet_my_needs,supervisor_gives_e-work_total_control,Flexibility,Flexibility Optimized
1,1,1,0,1,0,0,0,3,3,3,4,4,4,3.486,14.09,2,3,2,2,4,3,5,2.9988,8.997852944,5,5,4,3,4.25,11.694229,4,4,4,3.96,11.67571011,3,3,4,3.3,9.590589674
2,1,1,0,0,1,0,1,4,4,4,3,3,4,3.652,14.38,4,4,1,4,2,3,3,2.9988,9.725453392,1,2,2,1,1.5,5.819898655,3,5,5,4.29,13.68292418,3,2,3,2.64,6.754044535
3,1,0,0,0,1,0,0,4,4,4,4,4,4,3.984,15.88,4,5,5,2,5,2,1,3.4272,15.44464011,3,4,5,4,4,14.66242665,5,5,5,4.95,14.59463763,3,5,3,3.63,12.99999518
4,2,0,0,0,,1,2,3,3,4,4,3,4,3.486,13.66,2,3,4,5,4,4,2,3.4272,12.90317407,3,3,5,3,3.5,13.44491443,5,5,3,4.29,10.75283602,1,4,2,2.31,9.945854928
5,1,1,0,3,2,1,0,4,4,4,4,4,4,3.984,15.88,3,4,3,5,2,4,5,3.7128,12.46311015,1,1,5,5,3,14.2237394,5,5,5,4.95,14.59463763,5,5,5,4.95,14.72671347
6,1,1,1,1,2,1,0,4,4,4,4,4,4,3.984,15.88,4,4,2,5,3,3,2,3.2844,11.76509439,1,1,3,1,1.5,7.403093693,3,4,5,3.96,13.14075418,2,3,2,2.31,7.972668936
7,1,1,0,1,3,0,0,3,3,2,3,2,1,2.324,9.44,5,3,2,3,2,3,1,2.7132,10.23840177,2,2,4,2,2.5,10.42400406,3,3,4,3.3,10.67768339,3,3,2,2.64,8.081466492
8,1,1,1,2,4,2,3,4,4,3,4,3,4,3.652,14.77,5,5,3,4,4,3,5,4.1412,14.46460123,2,3,3,5,3.25,10.66965582,2,5,5,3.96,13.22706745,5,2,4,3.63,7.726201238
9,1,1,1,1,4,3,0,4,3,4,4,3,2,3.32,13.02,1,2,4,3,4,2,2,2.5704,10.4045733,3,3,5,3,3.5,13.44491443,3,4,5,3.96,13.14075418,2,4,4,3.3,11.56377567
10,2,0,1,0,1,0,0,2,2,2,2,1,2,1.826,7.17,2,4,5,1,4,3,4,3.2844,13.0552202,5,5,4,3,4.25,11.694229,3,3,5,3.63,12.59858419,4,5,5,4.62,14.61791592
11,2,0,1,1,1,1,0,0,1,3,3,4,2,2.158,8.38,1,1,3,4,4,1,1,2.142,8.668999324,1,5,5,1,3,14.21686351,1,5,5,3.63,12.77121072,1,4,5,3.3,12.2095397
12,2,0,1,3,2,1,4,4,1,1,0,3,4,2.158,8.98,3,5,1,3,3,3,2,2.856,9.670942648,1,1,1,1,1,3.02091037,1,2,2,1.65,5.381998324,2,1,1,1.32,3.05414025
13,1,1,1,1,3,1,0,4,1,4,4,3,2,2.988,11.56,4,4,3,2,4,2,2,2.9988,11.85594696,3,4,4,5,4,13.08095059,4,4,5,4.29,13.59661091,2,4,3,2.97,10.80921407
14,1,0,0,0,1,1,1,3,3,2,3,3,2,2.656,10.89,4,5,3,4,2,3,2,3.2844,12.96922974,3,4,4,2,3.25,11.2521038,5,4,4,4.29,12.13156684,4,4,4,3.96,11.78137078
15,2,1,1,6,4,4,0,2,0,1,2,1,1,1.162,4.69,1,1,5,2,5,1,2,2.4276,10.71524175,4,5,5,5,4.75,15.49224536,1,4,5,3.3,12.22904072,2,5,3,3.3,12.89119762
16,2,1,1,6,0,1,4,2,3,3,3,3,4,2.988,11.87,5,5,3,5,2,3,5,3.9984,14.2524062,5,4,5,3,4.25,13.27742403,4,4,5,4.29,13.59661091,4,5,5,4.62,14.61791592
17,1,0,0,0,2,1,1,3,1,0,2,3,3,1.992,8.7,2,4,4,3,4,3,3,3.2844,12.64512403,3,3,4,3,3.25,11.25382277,2,3,4,2.97,10.22182666,5,5,5,4.95,14.72671347
18,2,1,1,6,4,2,0,1,1,0,0,3,1,0.996,4.44,1,4,3,3,4,2,3,2.856,10.65841017,4,3,4,4,3.75,11.47574486,2,5,5,3.96,13.22706745,5,5,5,4.95,14.72671347
