Respondent ID,age,gender,marital status,years working,employer type,Area,title,supervisor sensitive to needs of others,supervisor devotes time to me,happy with supervisor communication,supervisor and I share understanding to achieve our goals,supervisor and I speak openly,supervisor and I talk intensively to solve problems,organization gives e-work training,e-work takes up personal time,if e-working often think about work outside regular hours,happy with work life balance if e-working,Constant access in e-working tiring,if e-working concentrate better on work,supervisor gives total control over for e-work,organization trusts effective in e-work,trust organization for e-work facilities,E-work makes me more effective,if interrupted at home while e-work still meet quality expectations,if e-work know when to switch off to rest,"work is flexible, can take off time in e-work",can flex hours if e-work compelted,demands higher when e-work,job productivity increased bec e-work,poor social life if e-work
13122402634,25 to 34,Male,Married,Between 4 and 5 years,Private Company,Business office,CFO,4,4,4,4,4,4,3,3,3,2,1,2,2,2,2,2,5,2,2,2,5,2,4
13122313296,25 to 34,Male,Married,Between 5 and 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Manager,3,3,3,2,2,3,5,3,5,4,5,4,3,4,3,4,4,3,3,4,5,5,2
13122282400,25 to 34,Male,Married,Over 6 years,Private Accounting,Tax,Manager,4,2,3,4,3,4,1,2,2,5,1,3,4,4,3,3,5,1,5,5,3,3,3
13122186053,25 to 34,Male,Married,Over 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Partner,3,3,2,3,3,3,2,4,4,3,4,4,3,3,4,4,4,4,3,4,4,4,3
13120216706,45 to 54,Male,Married,Over 6 years,Private Company,Tax,Director,3,3,3,3,3,2,3,3,3,2,3,3,4,2,3,3,3,3,3,3,3,3,3
13120204027,35 to 44,Male,Married,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Partner,3,2,2,2,3,2,4,3,5,4,4,3,4,4,4,3,3,2,5,5,4,3,1
13120093131,25 to 34,Male,Married,Between 1 and 2 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Staff,4,3,2,3,4,3,3,3,3,5,2,4,4,5,5,5,5,4,4,5,3,4,1
13119398309,45 to 54,Male,Married,Over 6 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Partner,3,1,2,3,2,3,,4,5,2,5,3,3,5,3,3,4,2,3,4,4,3,3
13119591726,18 to 24,Female,Married,Between 2 and 3 years,Midsize Accounting Firm (6-19 partners),finanacial reporting and/or analysis,Staff,3,1,3,,3,4,1,5,3,3,5,2,4,4,2,2,5,4,1,1,2,4,1
13119475130,25 to 34,Male,Married,Between 4 and 5 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,2,1,2,2,3,3,4,4,4,4,2,2,5,5,4,3,4,4,3,4,2,4,3
