Year,New York City Population,NYC Consumption(Million gallons per day),Per Capita(Gallons per person per day)
1979,7102100,1512,213
1980,7071639,1506,213
1981,7089241,1309,185
1982,7109105,1382,194
1983,7181224,1424,198
1984,7234514,1465,203
1985,7274054,1326,182
1986,7319246,1351,185
1987,7342476,1447,197
1988,7353719,1484,202
1989,7344175,1402,191
1990,7335650,1424,194
1991,7374501,1469,199
1992,7428944,1369,184
1993,7506166,1368.5,182
1994,7570458,1357.7,179
1995,7633040,1325.7,174
1996,7697812,1297.9,169
1997,7773443,1205.5,155
1998,7858259,1219.5,155
1999,7947660,1237.2,156
2000,8008278,1240.4,155
2001,8024963.5,1184,148
2002,8041649,1135.6,141
2003,8058334.5,1093.7,136
2004,8075020,1099.5,136
2005,8091705.5,1138,141
2006,8108391,1069,132
2007,8125076.5,1114,137
2008,8141762,1098,135
2009,8158447.5,1007.5,123
2010,8175133,1039,127
2011,8284098,1021,123
2012,8361179,1009.1,121
2013,8422460,1006.1,119
2014,8471990,996,118
2015,8516502,1009,118
2016,8537673,1002,117
2017,8622698,990.2,115
