Date,Petrol (USD)
6/9/2003,74.59
6/16/2003,74.47
6/23/2003,74.42
6/30/2003,74.35
7/7/2003,74.28
7/14/2003,74.21
7/21/2003,75.07
7/28/2003,75.10
8/4/2003,75.12
8/11/2003,75.44
8/18/2003,75.81
8/26/2003,76.05
9/1/2003,76.13
9/8/2003,76.23
9/15/2003,76.20
9/22/2003,76.15
9/29/2003,76.08
10/6/2003,76.43
10/13/2003,75.90
10/20/2003,76.05
10/27/2003,76.00
11/3/2003,76.00
11/10/2003,75.94
11/17/2003,75.93
11/24/2003,76.02
12/1/2003,76.00
12/8/2003,75.97
12/15/2003,75.96
12/22/2003,75.92
12/29/2003,75.94
1/5/2004,75.88
1/12/2004,75.90
1/19/2004,76.36
1/26/2004,76.44
2/2/2004,76.48
2/9/2004,76.50
2/16/2004,76.44
2/23/2004,76.38
3/1/2004,76.32
3/8/2004,76.73
3/15/2004,77.39
3/22/2004,77.44
3/29/2004,77.59
4/5/2004,77.86
4/12/2004,77.88
4/19/2004,78.04
4/26/2004,78.40
5/4/2004,79.28
5/10/2004,80.30
5/17/2004,81.49
5/24/2004,82.13
5/31/2004,82.35
6/7/2004,82.44
6/14/2004,81.54
6/21/2004,81.04
6/28/2004,80.41
7/5/2004,79.87
7/12/2004,80.34
7/19/2004,80.84
7/26/2004,80.87
8/2/2004,80.86
8/9/2004,81.18
8/16/2004,81.25
8/23/2004,81.51
8/31/2004,81.53
9/6/2004,81.37
9/13/2004,81.31
9/20/2004,81.28
9/27/2004,81.63
10/4/2004,82.05
10/11/2004,83.11
10/18/2004,83.35
10/25/2004,83.94
11/1/2004,84.27
11/8/2004,84.34
11/15/2004,84.26
11/22/2004,81.46
11/29/2004,84.17
12/6/2004,84.06
12/13/2004,82.73
12/20/2004,81.46
12/27/2004,81.20
1/3/2005,81.17
1/10/2005,79.84
1/17/2005,78.93
1/24/2005,78.93
1/31/2005,79.54
2/7/2005,79.84
2/14/2005,80.03
2/21/2005,80.15
2/28/2005,80.45
3/7/2005,81.16
3/14/2005,81.64
3/21/2005,82.70
3/28/2005,83.40
