Date,S&P,AAPL,MSFT,AMZN,FB,TSLA,GOOG-A,GOOG-C,BRK-B,JNJ,JPM,V,NVDA,UNH,NFLX,PG,DIS,HD,PYPL,MA,BAC,VZ,INTC,ADBE,CMCSA,CRM,T,MRK,TMO,PFE,WMT,MDY,IWM,TLT
1/25/2016,1877.079956,24.860001,51.790001,596.530029,97.010002,39.276001,733.619995,711.669983,124.129997,96.400002,55.66,71.739998,28.42,113.379997,99.120003,76.849998,95.290001,121.709999,31.469999,86.769997,12.96,47.029999,29.6,86.769997,27.105,69.919998,35,50.919998,134.729996,28.937382,63.450001,229.479996,99.120003,126.019997
1/26/2016,1903.630005,24.997499,52.169998,601.25,97.339996,38.712002,733.789978,713.039978,125.889999,101.18,57.080002,71.879997,28.700001,113.959999,97.830002,78.809998,96.269997,122.199997,31.969999,87,13.31,48.25,29.940001,86.889999,27.42,69.870003,35.400002,51.450001,134.100006,29.098671,64,234.619995,101.099998,126.080002
1/27/2016,1882.949951,23.355,51.220001,583.349976,94.449997,37.613998,717.580017,699.98999,125.190002,102.160004,57.040001,70.910004,28.360001,112.330002,91.150002,78.800003,94.32,121.57,31.59,84.809998,13.36,49.029999,29.809999,84.849998,27.059999,67.43,35.48,50.369999,135.830002,28.956356,63.950001,232.25,99.709999,126.050003
1/28/2016,1893.359985,23.522499,52.060001,635.349976,109.110001,37.939999,748.299988,730.960022,126.010002,102.269997,57.279999,69.330002,28.049999,111.379997,94.410004,79.82,93.529999,122.279999,34.240002,83.43,13.53,49.009998,29.969999,84.519997,27.055,65.690002,35.529999,49.200001,128.169998,28.652752,64.220001,232.339996,99.690002,126.230003
1/29/2016,1940.23999,24.334999,55.09,587,112.209999,38.240002,761.349976,742.950012,129.770004,104.440002,59.5,74.489998,29.290001,115.160004,91.839996,81.690002,95.82,125.760002,36.139999,89.029999,14.14,49.970001,31.02,89.129997,27.855,68.059998,36.060001,50.669998,132.059998,28.927895,66.360001,239.970001,102.959999,127.300003
2/1/2016,1939.380005,24.1075,54.709999,574.809998,115.089996,39.388,770.77002,752,128.660004,104.370003,58.860001,74.379997,29.299999,115.889999,94.089996,81.120003,95.150002,126.510002,37.080002,88.629997,13.96,50.759998,30.82,89.610001,27.905001,68.440002,36.18,50.75,130.690002,28.624289,67.5,239.610001,102.489998,126.669998
2/2/2016,1903.030029,23.620001,53,552.099976,114.610001,36.556,780.909973,764.650024,125.699997,103.410004,57.029999,73.400002,28.059999,113.879997,91.489998,80.220001,93.120003,125.269997,36.830002,85.93,13.23,49.91,29.799999,87.949997,27.295,64.519997,36.060001,50.41,126.889999,28.595825,66.860001,234.509995,100.279999,129.020004
2/3/2016,1912.530029,24.0875,52.16,531.070007,112.690002,34.695999,749.380005,726.950012,126.239998,104.139999,57.41,74.379997,28.200001,112.75,90.739998,81.099998,95.139999,123.790001,37.009998,86.470001,13.03,50.619999,29.34,87.989998,28.92,65.339996,36.720001,50.049999,126.050003,28.149904,66.269997,236.139999,100.410004,127.949997
2/4/2016,1915.449951,24.15,52,536.26001,110.489998,35.066002,730.030029,708.01001,127.440002,103.900002,58.400002,73.68,28.209999,114.199997,89.709999,80.699997,95.43,121.110001,37.169998,86.330002,13.25,50.43,29.77,86.360001,29.105,67.199997,36.529999,48.59,127.800003,27.514231,66.419998,237.889999,100.800003,128.570007
2/5/2016,1880.050049,23.504999,50.16,502.130005,104.07,32.52,703.76001,683.570007,126.559998,100.540001,57.75,71.540001,26.43,111.720001,82.790001,81.199997,93.900002,116.43,35.07,82.760002,12.95,50.970001,29.040001,79.199997,29.705,58.509998,36.880001,49.380001,123.18,27.542694,67,232.830002,98.040001,128.720001
2/8/2016,1853.439941,23.752501,49.41,488.100006,99.75,29.598,704.159973,682.73999,126.779999,102,56.540001,67.769997,25.219999,110.019997,83.32,82.620003,92.120003,111.849998,33.610001,80.650002,12.27,50.740002,28.82,74.940002,29.700001,54.049999,37.110001,48.830002,121.940002,27.096775,66.900002,228.850006,96.43,131.490005
2/9/2016,1852.209961,23.747499,49.279999,482.070007,99.540001,29.65,701.02002,678.109985,127.720001,101.970001,56.200001,68.330002,25.49,111.160004,86.129997,82.639999,92.32,113.860001,32.700001,81.970001,12.2,50.150002,28.809999,73.849998,29.105,57.330002,36.650002,49.16,124.449997,27.609108,65.809998,228.220001,95.779999,131.630005
2/10/2016,1851.859985,23.567499,49.709999,490.480011,101,28.733999,706.849976,684.119995,126.580002,101.730003,55.52,70.150002,25.43,112.739998,88.449997,81.620003,88.849998,114.330002,32.900002,83.309998,11.98,49.98,28.23,75.529999,27.905001,58.759998,36.43,49.529999,125.459999,27.979128,65.790001,228.759995,95.830002,132.789993
2/11/2016,1829.079956,23.424999,49.689999,503.820007,101.910004,30.094,706.359985,683.109985,125.089996,101.699997,53.07,68.470001,25.299999,110.620003,86.349998,79.900002,90.309998,113.269997,33.52,82.110001,11.16,49.389999,28.219999,74.940002,28.02,59.240002,36.209999,48.849998,123.300003,27.637571,65.32,225.580002,94.790001,133.720001
2/12/2016,1864.780029,23.497499,50.5,507.079987,102.010002,30.208,706.890015,682.400024,128.070007,101.82,57.490002,70.419998,25.73,111.82,87.400002,80.989998,91.150002,116.32,34.299999,84.889999,11.95,50.110001,28.639999,76.669998,28.389999,59.68,36.470001,49.029999,126.480003,27.855787,66.18,229.740005,96.589996,131.5
2/16/2016,1895.579956,24.16,51.09,521.099976,101.610001,31.034,717.640015,691,128.559998,102.32,58.349998,71.099998,26.99,115.150002,89.050003,81.470001,92.910004,119.43,35.459999,86.18,12.25,50.240002,28.780001,78.879997,28.74,59.720001,36.650002,49.779999,127.419998,28.282732,65.900002,234.669998,98.879997,130.110001
2/17/2016,1926.819946,24.530001,52.419998,534.099976,105.199997,33.736,731.969971,708.400024,130.259995,102.5,58.77,72.029999,27.66,118.300003,94.760002,82.449997,95.5,121.209999,36.360001,87.209999,12.56,50.32,29.469999,81.849998,28.85,63.490002,36.639999,50.599998,130.699997,28.111954,66.110001,238.360001,100.43,129.309998
2/18/2016,1917.829956,24.065001,52.189999,525,103.470001,33.354,717.51001,697.349976,130.860001,104.239998,57.810001,71.239998,30.040001,117.449997,90.489998,81.980003,95.169998,119.970001,36.310001,86.040001,12.24,50.939999,29.42,80.529999,28.66,61.700001,36.990002,50.32,129.690002,28.036053,64.120003,237.779999,99.949997,130.899994
2/19/2016,1917.780029,24.01,51.82,534.900024,104.57,33.316002,722.109985,700.909973,131.050003,104.160004,57.82,71.529999,30.440001,117.68,89.230003,81.790001,95.010002,121.690002,35.759998,86.790001,12.13,50.860001,28.709999,80.870003,28.879999,62.139999,36.57,50.119999,130.160004,27.979128,64.660004,237.899994,100.449997,131.009995
2/22/2016,1945.5,24.219999,52.650002,559.5,107.160004,35.548,729.049988,706.460022,131.990005,104.75,58.57,73.059998,31.52,121.269997,91.93,82.129997,96.370003,122.849998,36,87.82,12.54,51.07,29.35,83.800003,29.075001,63.98,36.860001,50.77,131.440002,28.510437,65.629997,240.929993,101.57,130.940002
2/23/2016,1921.27002,23.672501,51.18,552.940002,105.459999,35.442001,717.289978,695.849976,130.740005,104.080002,56.119999,72.150002,31.6,121.150002,89.120003,81.809998,95.379997,124.529999,35.48,86.209999,12.16,50.630001,28.799999,83.07,28.77,62.900002,36.740002,50.540001,129.740005,28.425047,66.480003,238.800003,100.639999,131.470001
2/24/2016,1929.800049,24.025,51.360001,554.039978,106.879997,35.799999,720.900024,699.559998,131.029999,104.959999,56.139999,71.849998,31.82,120.199997,91.610001,81.559998,95.43,125.610001,36.470001,86.419998,12.13,50.82,29.190001,83.419998,29.200001,62.52,37.099998,50.560001,129.770004,28.481974,67.120003,240.279999,101.610001,131.210007
2/25/2016,1951.699951,24.190001,52.099998,555.150024,108.07,37.486,729.119995,705.75,132.309998,106.379997,57.009998,73.269997,31.889999,121.199997,94.529999,82.339996,95.650002,126.860001,36.740002,87.419998,12.32,51.110001,29.620001,86.68,29.264999,69.419998,37.369999,51,130.570007,29.02277,68.040001,243.029999,102.540001,131.679993
2/26/2016,1948.050049,24.227501,51.299999,555.22998,107.919998,38.068001,724.859985,705.070007,131.919998,105.779999,57.540001,72.730003,31.68,121.330002,94.790001,81.099998,95.309998,126.260002,37.490002,87.57,12.7,51.02,29.799999,86.599998,28.955,69.720001,37.130001,50.639999,130.710007,28.681215,66.510002,244.179993,103.190002,130.410004
2/29/2016,1932.22998,24.172501,50.880001,552.52002,106.919998,38.386002,717.219971,697.77002,134.169998,105.209999,56.299999,72.389999,31.360001,119.099998,93.410004,80.290001,95.519997,124.120003,38.139999,86.919998,12.52,50.73,29.59,85.150002,28.865,67.75,36.950001,50.209999,129.190002,28.149904,66.339996,242.940002,102.730003,130.979996
3/1/2016,1978.349976,25.1325,52.580002,579.039978,109.82,37.27,742.169983,718.809998,136.940002,107.220001,59.200001,74.639999,32.75,121.669998,98.300003,81.230003,97.650002,125.699997,39.25,90.099998,13.19,51.459999,30.370001,88.370003,29.610001,70.019997,37.389999,51.75,135.279999,28.500948,66.459999,248.5,104.940002,128.429993
3/2/2016,1986.449951,25.1875,52.950001,580.210022,109.949997,37.667999,739.47998,718.849976,136.729996,107.040001,59.759998,74.300003,32.939999,121.269997,97.610001,82.550003,97,125.589996,39.16,89.889999,13.41,52.119999,30.540001,88.389999,29.684999,70.43,37.689999,52.27,138.119995,28.444023,66.209999,250.660004,106.019997,128.960007
3/3/2016,1993.400024,25.375,52.349998,577.48999,109.580002,39.147999,731.590027,712.419983,136.839996,106.650002,59.959999,73.910004,32.650002,121.82,97.93,82.839996,98.82,126.800003,39.02,89.739998,13.5,51.889999,30.58,87.209999,29.959999,70.800003,37.990002,52.099998,138.669998,28.358633,66.139999,253.339996,107.129997,129.429993
3/4/2016,1999.98999,25.752501,52.029999,575.140015,108.389999,40.208,730.219971,710.890015,137.970001,106.5,60.049999,73.900002,32.549999,121.800003,101.580002,83.489998,98.480003,125.559998,39.040001,90.050003,13.54,51.810001,30.629999,86.18,29.870001,71.059998,37.93,52.080002,140.300003,28.187857,66.779999,255.089996,107.720001,128.600006
3/7/2016,2001.76001,25.467501,51.029999,562.799988,105.730003,41.057999,712.799988,695.159973,138.720001,106.739998,59.939999,71.940002,32.34,121.760002,95.489998,83.099998,99.389999,126.169998,38.98,88.300003,13.53,52.209999,30.940001,85.110001,29.48,70.489998,38.130001,52.639999,141.550003,28.263758,67.889999,256.269989,108.889999,128.559998
3/8/2016,1979.26001,25.2575,51.650002,560.26001,105.93,40.52,713.530029,693.969971,137.800003,106.220001,58.779999,70.620003,31.75,121.660004,96.230003,83.059998,97.82,126.720001,38.16,86.849998,13.06,52.459999,30.559999,84.349998,29.145,69.82,38.09,52.450001,139.080002,27.855787,68.040001,251.339996,106.260002,129.979996
3/9/2016,1989.26001,25.280001,52.84,559.469971,107.510002,41.743999,725.409973,705.23999,139.130005,106.839996,59.119999,70.68,31.73,121.099998,98,82.959999,97.660004,126.029999,38.57,87.18,13.14,52.34,30.870001,85.269997,29.389999,71.040001,37.98,52.360001,138.149994,28.216318,67.529999,252.460007,106.800003,129.190002
